coral_number,site,habitat,transect,taxa,x,y,z,length_2013,width_2013,height_2013,observer_2013,note_2013,note_extra_2013,fusion_group_2013,fission_group_2013,growth_ratio_2013,dynamics_2013,length_2014,width_2014,height_2014,observer_2014,note_2014,note_extra_2014,fusion_group_2014,fission_group_2014,growth_ratio_2014,dynamics_2014,length_2015,width_2015,height_2015,observer_2015,note_2015,note_extra_2015,fusion_group_2015,fission_group_2015,growth_ratio_2015,dynamics_2015,length_2016,width_2016,height_2016,observer_2016,note_2016,note_extra_2016,fusion_group_2016,fission_group_2016,growth_ratio_2016,dynamics_2016,length_2017,width_2017,height_2017,observer_2017,note_2017,note_extra_2017,fusion_group_2017,fission_group_2017,growth_ratio_2017,dynamics_2017,length_2018,width_2018,height_2018,observer_2018,note_2018,note_extra_2018,fusion_group_2018,fission_group_2018,growth_ratio_2018,dynamics_2018,length_2019,width_2019,height_2019,observer_2019,note_2019,note_extra_2019,fusion_group_2019,fission_group_2019,growth_ratio_2019,dynamics_2019,length_2020,width_2020,height_2020,observer_2020,note_2020,note_extra_2020,fusion_group_2020,fission_group_2020,growth_ratio_2020,dynamics_2020,length_2021,width_2021,height_2021,observer_2021,note_2021,note_extra_2021,fusion_group_2021,fission_group_2021,growth_ratio_2021,dynamics_2021,length_2022,width_2022,height_2022,observer_2022,note_2022,note_extra_2022,fusion_group_2022,fission_group_2022,growth_ratio_2022,dynamics_2022,length_2023,width_2023,height_2023,observer_2023,note_2023,note_extra_2023,fusion_group_2023,fission_group_2023,growth_ratio_2023,dynamics_2023
35,LTER1,BR,P1,Por,2.3,36,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,2.9,2.2,HL,NA,NA,NA,NA,NA,NA,8.3,7.8,8.3,MK,NA,NA,NA,NA,2.87058823529412,Growth
36,LTER1,BR,P1,Poc,2.5,60,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.7,1.7,HSL,NA,R,NA,NA,NA,Recruitment,NA,NA,NA,EW,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,LTER1,BR,P1,Poc,2.6,62,100,26.3,18.1,12,MK,NA,NA,NA,NA,NA,NA,25.9,13.9,15.1,MK,NA,NA,NA,NA,0.973404255319149,NA,19.5,16.9,15.3,MK,NA,NA,NA,NA,0.941712204007286,NA,18,18.5,17.3,MK,NA,NA,NA,NA,1.04061895551257,Growth,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
38,LTER1,BR,P1,Acr,2.7,80,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HSL,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,LTER1,BR,P1,Poc,2.95,71,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,1.1,1.1,0.8,MK,R,NA,NA,NA,NA,Recruitment,2.3,2.7,0.8,EW,NA,NA,NA,NA,1.93333333333333,Growth,7,3.8,5.2,HSL,NA,NA,NA,NA,2.75862068965517,Growth,NA,NA,NA,EW,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,LTER1,BR,P1,Poc,3,87,60,2.5,1.9,2.2,MK,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,LTER1,BR,P1,Poc,3.17,37,73,3,1.6,1.8,MK,R,NA,NA,NA,NA,Recruitment,2.5,2.3,0.8,MK,NA,NA,NA,NA,0.875,NA,0.8,0.5,0.5,MK,R,NA,NA,NA,0.321428571428571,Recruitment,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,LTER1,BR,P1,Poc,3.18,50,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,2.7,3.2,MK,R,NA,NA,NA,NA,Recruitment,4.6,3.5,4.2,MK,NA,NA,NA,NA,1.32258064516129,Growth,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,LTER1,BR,P1,Poc,3.18,94,73,5.9,5.2,5.3,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,LTER1,BR,P1,Poc,3.2,19,68,2.4,1,2.3,MK,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,LTER1,BR,P1,Poc,3.22,51,83,7.1,6.2,6.5,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,LTER1,BR,P1,Poc,3.28,63,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,3.8,4.7,MK,NA,NA,NA,NA,NA,NA
47,LTER1,BR,P1,Poc,3.29,97,76,1.5,0.9,1.8,MK,R,NA,NA,NA,NA,Recruitment,3.6,2.8,3,MK,NA,NA,NA,NA,2.23809523809524,Growth,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,LTER1,BR,P1,Acr,3.3,65,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HSL,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,LTER1,BR,P1,Acr,3.5,80,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HSL,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,LTER1,BR,P1,Poc,3.7,90,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.1,1.1,HSL,NA,R,NA,NA,NA,Recruitment,5,5,3,EW,NA,NA,NA,NA,2.28070175438597,Growth,16,9,10,NA,NA,NA,NA,NA,2.69230769230769,Growth,NA,NA,NA,HSL,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
51,LTER1,BR,P1,Poc,3.75,53,63,27,13.2,25.3,MK,NA,NA,NA,NA,NA,NA,23.4,16.7,13.8,MK,NA,NA,NA,NA,0.822900763358778,NA,8.9,7.4,11.2,MK,NA,NA,NA,NA,0.510204081632653,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,LTER1,BR,P1,Poc,3.87,66,35,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,7.6,7.7,7.9,MK,Fr,NA,NA,NA,NA,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,LTER1,BR,P1,Poc,4,95,24,3.2,2,2.8,MK,NA,NA,NA,NA,NA,NA,1.6,1,2,MK,R,NA,NA,NA,0.575,Recruitment,1.6,0.9,1.6,MK,NA,NA,NA,NA,0.891304347826087,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,LTER1,BR,P1,Poc,4.14,21,53,0.9,0.8,0.6,MK,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,LTER1,BR,P1,Poc,4.15,20,53,2.4,2,1.6,MK,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,LTER1,BR,P1,Poc,4.15,37,28,6.9,4.9,3.8,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,LTER1,BR,P1,Acr,4.15,50,53,30.5,26.2,4.5,MK,NA,NA,NA,NA,NA,NA,23.5,22.5,5.2,MK,NA,NA,NA,NA,0.836601307189543,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,LTER1,BR,P1,Poc,4.15,65,33,14.1,9.6,11.6,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,LTER1,BR,P1,Poc,4.3,58,43,11.3,9.2,11.4,MK,NA,NA,NA,NA,NA,NA,12.1,10,13,MK,NA,NA,NA,NA,1.10031347962382,Growth,12,10.6,10.6,MK,NA,NA,NA,NA,0.945868945868946,NA,5.5,5.3,6.5,MK,NA,NA,NA,NA,0.521084337349398,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
60,LTER1,BR,P1,Poc,5.1,68,65,7.5,5.6,6,MK,NA,NA,NA,NA,NA,NA,8.7,6.7,8.8,MK,NA,NA,NA,NA,1.26701570680628,Growth,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,LTER1,BR,P1,Poc,5.35,72,75,7.3,5.8,5.6,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,LTER1,BR,P1,Poc,5.4,69,51,1.5,0.8,1.9,MK,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,LTER1,BR,P1,Poc,5.47,68,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,0.6,1,MK,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,LTER1,BR,P1,Poc,5.7,45,57,3,2.3,1.8,MK,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,LTER1,BR,P1,Poc,5.95,33,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,0.8,2,MK,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,LTER1,BR,P1,Poc,6.15,94,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,1.8,1.4,1.5,MK,R,NA,NA,NA,NA,Recruitment,3,2,3,MK,NA,NA,NA,NA,1.70212765957447,Growth,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
67,LTER1,BR,P1,Poc,6.22,100,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,0.9,0.8,MK,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,LTER1,BR,P1,Acr,6.38,84,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.3,1.1,MK,Hya,NA,NA,NA,NA,NA
69,LTER1,BR,P1,Poc,6.4,58,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,2.8,2.3,2.3,MK,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
70,LTER1,BR,P1,Por,6.53,24,13,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,29.5,16.1,15.2,MK,Ed,NA,NA,NA,NA,Edge,31.7,16.8,16.4,MK,NA,NA,NA,NA,1.06743421052632,Growth,32.8,16.8,17,MK,NA,NA,NA,NA,1.02619414483821,Growth,29,22,17,EW,NA,NA,NA,NA,1.02102102102102,Growth,36,27,20,HSL,NA,NA,NA,NA,1.22058823529412,Growth,31,19,18,EW,NA,NA,NA,NA,0.819277108433735,NA,34,18,23,NA,NA,NA,NA,NA,1.10294117647059,Growth,39,19,21,HSL,NA,NA,NA,NA,1.05333333333333,Growth,40.8,26.3,22.7,HL,NA,NA,NA,NA,1.13670886075949,Growth,41.7,35.8,22.3,MK,NA,NA,NA,NA,1.11135857461025,Growth
